code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87545509,91530,520635,303049,646845,635240,629270,610113,588563
87595777,24220,10430,7121,5546,8638,8592,7541,8168
87446179,31300,295883,262346,318818,286794,360548,354885,380889
87775072,30900,15465,11084,16278,12823,14749,9770,10413
87271015,93200,11306430,16128368,32141497,32855279,33275543,32732352,32140562
87584508,33910,29527,24752,36759,27509,25184,24098,24944
87576272,18400,8893,8315,13388,13623,15890,16555,17712
87783423,12100,390,280,1591,1189,1076,2466,11473
87721340,69830,54463,40589,68811,59487,61032,61953,65431
87721282,69650,340945,269883,408397,350384,376630,359983,356255
87366922,78100,0,0,241825,247908,254373,257161,259013
87746479,74170,391227,349141,445024,433047,485888,483364,486994
87476762,44530,22282,16340,33328,38546,47967,49030,43785
87181552,68920,63302,63288,58513,53955,62013,63746,67659
87297531,59292,107,44,729,465,205,50,355
87673723,64220,38684,25802,62202,50058,54553,53424,39027
87611624,9000,3547,1526,2791,2218,3120,2132,2413
87413310,76700,20245,26101,41991,37494,39359,39789,40212
87584730,33450,96221,81190,97492,74088,64620,52897,54107
87181016,68300,52379,40765,64290,56334,59654,60504,52769
87582825,33490,14658,11572,15852,13681,12037,11496,10543
87682294,77670,322236,205853,367310,359224,353693,340771,327578
87751701,13720,30502,16471,21771,20576,24478,19709,15702
87671495,40090,49728,48972,43527,41402,39972,37447,35243
87411413,76160,0,0,3691,4133,5583,5505,5394
87574459,37270,47249,35384,45160,44485,46067,45519,50221
87611103,31360,6717,3550,1634,1819,3906,2707,2770
87723536,1700,192065,154069,247579,223692,229533,196823,175857
87144683,88470,2005,2379,2892,3095,3562,2897,2591
87582692,33650,69304,47390,72449,54341,53116,49780,55372
87281444,62500,891119,778106,1173145,1082127,1142144,1061150,1114693
87571554,37370,17235,12765,14497,15918,14218,13857,15542
87723783,1240,73321,63346,79363,81357,88962,77668,74491
87582833,33490,7824,4493,6221,5491,7121,5602,7513
87415646,27430,0,0,2061,2637,2160,1598,1845
87723353,69800,155099,107179,161581,133395,131028,117237,127967
87592055,87480,19043,20763,18933,17765,23189,24955,27176
87313080,80000,52807,49519,79609,65454,66779,71955,71790
87765438,84450,21222,13520,19977,16523,16460,13198,19959
87491035,17350,14360,10866,22904,14867,16260,14954,14410
87471169,35580,10673,11508,16198,13570,17055,16712,19286
87615344,81370,621840,535043,594900,482942,577797,542237,528895
87592345,87370,31349,29755,37213,33281,39036,46898,48585
87354597,44230,21213,17575,28256,26294,24981,21474,15863
87354589,44230,24053,18327,30198,31292,31559,30728,25589
87721043,42630,23935,18210,20748,19050,21617,21460,18268
87673277,40230,213440,152988,207431,181906,200167,171492,175165
87726000,42000,3348384,2220668,4660910,4233914,4514547,4203213,3993621
87476648,56400,18292,12677,16121,11792,6836,6347,6824
87715151,25300,18711,15185,12094,13993,16285,13339,13097
87775239,30110,1081,831,1044,982,989,1370,1303
87287193,59660,1,1,63,16,11,8,0
87491001,17100,619251,387348,624430,567938,652310,606515,649829
87345215,62430,8918,9591,15527,12786,12327,14027,17301
87713594,21590,4626,5101,6398,5026,5985,6457,8292
87212225,67700,1393219,1180243,1582608,1504905,1506016,1482591,1512530
87725671,71260,8288,6159,7769,7283,5546,4994,3983
87545517,91530,90415,60616,131344,128659,126376,121816,116851
87411470,76440,58319,45212,78511,72971,77859,79612,82764
87444315,27470,23483,15653,28003,28468,30214,25877,29582
87723791,1960,56746,47446,66259,67559,75840,71460,72225
87182105,68510,214236,218869,364492,327994,320660,320883,314449
