code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87352047,Champagnole Paul-Émile Victor,6323,5910,4248,1571,2545,1507,2650
87683615,Champs - Saint-Bris,7201,3195,3169,2172,3062,1684,1473
87696302,Chantenay-Saint-Imbert,7487,7642,7940,6355,7703,11116,10215
87276162,Chaponval,53160,53547,54127,55078,55733,24510,35917
87682419,Chartrettes,46822,48843,50979,51957,53428,24561,58961
87393207,Chaville Rive Gauche,1180143,1123009,1067926,1000355,932646,504285,690862
87721415,Chazay - Marcilly,13632,15361,17384,13054,17133,12148,16123
87746701,Chedde,22703,23305,22641,21249,20478,15047,17314
87694398,Cheilly-lès-Maranges,4566,5515,6454,8213,10672,11925,9269
87484246,Chemillé-en-Anjou,222088,207283,214149,181891,196136,113372,145579
87546317,Chemin d'Antony,367722,380440,391171,394028,400187,187523,218101
87444877,Cherbourg-en-Cotentin,731228,683903,709030,637140,711262,393452,516929
87721761,Chessy,26779,27764,20849,19730,19161,10315,13961
87471458,Chevaigné,31216,35341,43305,45466,55765,49121,45317
87574848,Chissay-en-Touraine,7393,8050,7711,7176,5992,2361,5188
87747212,Châbons,47815,50770,53309,51640,53351,44628,62965
87174003,Châlons-en-Champagne,966352,915172,949309,825097,921152,538817,690501
87592105,Châteauneuf - Bujaleuf,2849,2433,2274,2376,3889,2428,2987
87696856,Châtel-Censoir,3652,3124,3511,3339,4959,3101,4143
87575142,Châtellerault,657243,632821,649052,567297,614508,421608,555123
87672139,Coarraze - Nay,31465,31169,31709,23642,33712,26993,39721
87473579,Coat Guégan,2796,3547,2851,1681,637,318,505
87402297,Colmar Mésanges,2769,2119,3442,4571,4190,2422,3326
87381087,Colombes,6039242,5993177,6159813,6305152,6156786,2242945,5496540
87478057,Combourg,334446,328650,334961,333160,371925,271206,343522
87175257,Commercy,210915,200006,220061,214510,228414,148298,194237
87394288,Condé-sur-Huisne,18717,16329,13533,12395,15552,15963,21903
87396218,Conlie,63827,63380,65237,68836,64332,33225,39419
87345116,Corbehem,34093,30967,31272,29762,29767,18911,22452
87313056,Corbie,455010,439460,437596,434938,453658,342465,386975
87144196,Corcieux Vanémont,5660,3239,2809,3373,973,260,1361
87272286,Corcy,529,102,7,0,0,3,2
87613802,Cordes - Vindrac,9877,8567,9472,7395,9138,6466,9103
87381863,Cormeilles-en-Parisis,3651596,3843422,3830848,3750496,3683266,1878474,3317416
87478180,Corseul - Languenan,1326,1856,2153,1464,2584,1489,1875
87696146,Cosne-Cours-sur-Loire,243051,221177,223983,197774,202688,145387,189920
87394494,Courtalain - Saint-Pellerin,5739,5170,4140,4586,4511,3804,5631
87584425,Couze,1459,784,1010,151,122,24,6
87281055,Croix L'Allumette,1465,1245,1669,1269,1029,731,848
